sic,total_companies,active_companies
52213,444,377
52219,4514,3816
5222,11,1
52220,1377,1303
5223,8,0
52230,1726,1583
5224,16,2
52241,1202,1063
52242,1527,1338
52243,3075,2561
5225,21,1
5226,11,0
5227,21,0
52290,24082,21078
5231,11,0
5232,5,1
5233,2,0
5241,9,1
5242,85,2
5243,17,0
5244,80,4
5245,48,2
5246,17,2
5247,17,0
5248,94,4
5250,12,0
5261,16,0
5262,1,0
5263,31,2
5271,2,0
5272,3,0
5273,1,0
5274,13,2
53100,2964,2516
53201,4974,4063
53202,12433,10367
5510,110,7
55100,21005,18667
5511,2,0
55201,1215,1129
55202,416,363
55209,15674,14789
5521,1,0
5522,3,2
5523,8,1
5530,257,5
55300,3481,3316
5540,224,10
5551,1,0
5552,53,2
55900,14457,13376
56101,58333,46457
56102,50847,42844
56103,88875,73447
56210,31794,27694
56290,34186,29196
56301,2921,2436
56302,41691,33822
58110,11685,11001
58120,658,594
58130,1025,907
58141,1010,956
58142,3391,3108
58190,16764,15491
58210,4788,4479
58290,17646,16347
59111,22239,20627
59112,28232,26411
59113,16109,15176
59120,8627,8039
59131,1762,1619
59132,2004,1816
59133,874,801
59140,781,731
59200,21370,19750
6010,5,4
60100,2725,2536
60200,4258,3883
6021,16,1
6022,32,2
6023,13,1
6024,254,22
6110,14,4
61100,4514,3933
6120,2,1
61200,4639,4117
61300,1133,995
61900,13026,11403
62011,10874,9996
62012,111753,104366
62020,174738,159357
62030,7289,6459
62090,98243,89778
6210,6,0
6220,4,0
6311,5,1
63110,22133,20290
6312,83,9
63120,22252,20341
6321,15,2
6322,4,0
6323,2,0
6330,40,2
6340,36,0
63910,1552,1371
63990,25784,23101
6411,10,0
64110,36,6
6412,14,0
64191,807,590
64192,103,83
6420,94,4
64201,1244,1184
64202,2578,2440
64203,5183,4904
64204,1843,1716
64205,9413,8627
64209,118256,114324
64301,3217,2836
64302,175,160
64303,4675,4213
64304,6642,6126
64305,1009,909
64306,3066,2770
64910,1334,1178
64921,1442,1283
64922,5537,5228
64929,2288,2107
64991,5898,5543
64992,394,341
64999,36439,33466
6511,4,0
65110,2530,2342
6512,14,1
65120,4605,4398
65201,745,726
65202,1511,1469
6521,5,0
6522,10,1
6523,120,11
65300,1221,1166
6601,30,0
6603,23,0
66110,2120,1721
66120,2786,2455
66190,10275,9503
66210,1158,1030
66220,8689,8085
66290,3773,3503
66300,6056,5548
6711,4,2
6712,2,0
6713,2,0
6720,1,0
68100,284857,272562
68201,25615,24400
68202,1545,1408
68209,461521,445925
68310,41130,37240
68320,129993,123532
69101,922,841
69102,12819,12134
69109,10450,9664
69201,45904,43408
69202,26030,24480
69203,13509,12743
70100,32119,30187
7011,744,124
7012,168,43
7020,250,61
70210,16847,15702
70221,23235,21481
70229,287403,265407
7031,56,5
7032,100,18
7110,14,2
71111,21835,20544
71112,4969,4667
71121,12967,11903
71122,35800,33593
71129,41337,37459
71200,8628,7843
7121,2,0
7122,3,0
7131,4,0
7132,5,1
7133,12,0
7134,27,2
7140,3,1
7210,56,2
72110,6471,6030
72190,13691,12888
7220,257,5
72200,4592,4304
7221,16,0
7222,95,5
7230,10,3
7240,15,2
7250,31,0
7260,206,9
7310,33,6
73110,55481,50546
73120,14899,13444
7320,2,1
73200,6664,6063
74100,52354,48671
7411,43,14
7412,48,2
7413,14,2
7414,310,43
7415,291,72
7420,145,14
74201,4176,3842
74202,9334,8653
74203,1284,1177
74209,7846,7266
7430,10,2
74300,4134,3831
7440,89,4
7450,132,6
7460,25,0
7470,62,11
7481,24,1
7482,17,1
7483,5,0
7484,35,15
7485,3,0
7486,11,0
7487,1561,106
74901,14126,13207
74902,9085,8406
74909,86053,79799
7499,1661,897
74990,43100,40700
75000,5841,5656
7511,5,1
7512,2,0
7514,4,1
7522,2,0
7523,2,0
7524,6,0
7525,4,0
7530,1,0
77110,12031,10353
77120,1837,1646
77210,1901,1746
77220,26,19
77291,2736,2457
77299,1130,1012
77310,828,776
77320,5727,5228
77330,813,754
77341,466,439
77342,188,178
77351,498,454
77352,82,72
77390,8334,7719
77400,3214,2986
78101,1992,1849
78109,33946,29742
78200,25130,21412
78300,16565,14580
79110,17242,15704
79120,8174,7439
79901,3115,2835
79909,5021,4538
8010,7,0
80100,16986,14394
80200,11068,9971
8021,18,3
8022,4,0
8030,9,0
80300,2061,1841
8041,4,0
8042,43,2
81100,11182,10237
81210,26785,23822
81221,5379,4857
81222,14487,12828
81223,492,467
81229,6558,5844
81291,1492,1400
81299,21937,19354
81300,24919,22837
82110,15522,13768
82190,2205,1967
82200,1892,1567
82301,7318,6762
82302,6312,5904
82911,832,719
82912,101,87
82920,3632,2603
82990,234052,210025
84110,1833,1627
84120,6493,5837
84130,1130,1028
84210,221,201
84220,1012,939
84230,392,351
84240,1341,1181
84250,2848,2649
84300,94,81
85100,9215,8736
8511,7,1
8512,15,3
8513,8,2
8514,43,4
85200,7132,6791
8531,15,2
85310,6571,6219
8532,15,1
85320,5970,5395
85410,2465,2238
85421,2636,2430
85422,3278,3014
85510,16939,15915
85520,12023,11326
85530,4463,4178
85590,67669,63393
85600,43849,40796
86101,13655,11729
86102,6861,5684
86210,27709,26221
86220,35717,34272
86230,20443,19910
86900,109221,100922
87100,8804,7912
87200,15909,14105
87300,14020,12752
87900,17863,16341
88100,11594,10651
88910,11203,10524
88990,25219,23543
9000,2,0
90010,26303,24670
9002,3,0
90020,21942,20326
9003,1,0
90030,44285,41598
90040,6334,5894
91011,557,526
91012,815,782
91020,1620,1566
91030,1465,1426
91040,1036,991
9111,4,0
9112,16,5
9120,2,1
9131,5,2
9133,14,1
92000,1692,1525
9211,18,3
9212,6,0
9213,7,4
9220,9,1
9231,83,1
9232,4,0
9233,1,0
9234,40,0
9240,1,0
9251,2,0
9252,3,0
9253,1,0
9261,34,2
9262,26,3
9271,17,1
9272,48,2
9301,10,1
9302,37,2
9303,2,0
9304,9,0
9305,560,55
93110,9639,9129
93120,12132,11510
93130,17545,15935
93191,696,644
93199,31666,29406
93210,955,869
93290,25504,23250
94110,3680,3380
94120,4515,4214
94200,422,350
94910,6811,6534
94920,561,500
94990,14436,13772
9500,11,4
95110,5520,4819
95120,1679,1467
95210,1826,1596
95220,2615,2294
95230,450,389
95240,2275,2024
95250,1242,1129
95290,1636,1475
9600,3,1
96010,5131,4436
96020,78430,69996
96030,3590,3391
96040,19449,18038
96090,159634,141003
97000,1318,1098
9800,15,6
98000,139311,136298
98100,701,640
98200,911,849
99000,1085,935
9999,176,75
99999,116397,106570
